	chioceA	choiceB	choiceC	choiceD	answer	sep_choiceA	sep_choiceB	sep_choiceC	sep_choiceD
3065	If something is in an ecosystem, it could be invisible 	If something is in an ecosystem, it could be vacuum of space 	If something is in an ecosystem, it could be lacking life 	If something is in an ecosystem, it could be alien	C	 invisible 	 vacuum of space 	 lacking life 	 alien
3066	The crust is made of different kinds of flour 	The crust is made of different kinds of pastries 	The crust is made of different kinds of stars 	The crust is made of different kinds of stone	D	 flour 	 pastries 	 stars 	 stone
3067	If a species of animal is endangered or going extinct, it's because too many of them have stopped mating 	If a species of animal is endangered or going extinct, it's because too many of them have stopped hugging 	If a species of animal is endangered or going extinct, it's because too many of them have stopped nothing 	If a species of animal is endangered or going extinct, it's because too many of them have stopped dying	A	 mating 	 hugging 	 nothing 	 dying
3068	Which is an example of solid matter an egg in a carton 	Which is an example of solid matter molten copper in a vat 	Which is an example of solid matter water in a glass 	Which is an example of solid matter mercury in a thermometer	A	 an egg in a carton 	 molten copper in a vat 	 water in a glass 	 mercury in a thermometer
3069	This animal is able to blend into its environment by changing its appearence an Elephant 	This animal is able to blend into its environment by changing its appearence a Bottlenose dolphin 	This animal is able to blend into its environment by changing its appearence a Phyllomimus 	This animal is able to blend into its environment by changing its appearence a Hammerhead shark	C	 an Elephant 	 a Bottlenose dolphin 	 a Phyllomimus 	 a Hammerhead shark
3070	A cougar eats unwary dandelions 	A cougar eats clouds 	A cougar eats carrots 	A cougar eats voles	D	 unwary dandelions 	 clouds 	 carrots 	 voles
3071	People are switching to electric cars because cars that use gas dirty the air 	People are switching to electric cars because cars that use gas cry 	People are switching to electric cars because cars that use gas nothing 	People are switching to electric cars because cars that use gas cleans the air	A	 dirty the air 	 cry 	 nothing 	 cleans the air
3072	If a person dies from a snake bite, the person was probably bitten by a bull snake 	If a person dies from a snake bite, the person was probably bitten by a python 	If a person dies from a snake bite, the person was probably bitten by a black mamba 	If a person dies from a snake bite, the person was probably bitten by a boa.	C	 bull snake 	 python 	 black mamba 	 boa.
3073	A lion with bones protruding from underneath its fur has been in a wardrobe 	A lion with bones protruding from underneath its fur has been overfed 	A lion with bones protruding from underneath its fur has been animated 	A lion with bones protruding from underneath its fur has been underfed	D	 in a wardrobe 	 overfed 	 animated 	 underfed
3074	If your dog is getting noticeably skinnier, you need to increase its food intake 	If your dog is getting noticeably skinnier, you need to play some video games 	If your dog is getting noticeably skinnier, you need to feed it less food 	If your dog is getting noticeably skinnier, you need to Make it fly away	A	 increase its food intake 	 play some video games 	 feed it less food 	 Make it fly away
3075	When is fog most likely to occur 3 p.m. 	When is fog most likely to occur midnight 	When is fog most likely to occur 6 p.m. 	When is fog most likely to occur noon	B	 3 p.m. 	 midnight 	 6 p.m. 	 noon
3076	It's too foggy to see more than two feet on a highway. This is because of ash from a volcano 	It's too foggy to see more than two feet on a highway. This is because of vapor of H2O condensed in the air 	It's too foggy to see more than two feet on a highway. This is because of helium vapor in the air 	It's too foggy to see more than two feet on a highway. This is because of a forest fire nearby	B	 ash from a volcano 	 vapor of H2O condensed in the air 	 helium vapor in the air 	 a forest fire nearby
3077	As an airboat moves from grass to water it will blow up 	As an airboat moves from grass to water it will sink 	As an airboat moves from grass to water it will speed up 	As an airboat moves from grass to water it will slow down	C	 blow up 	 sink 	 speed up 	 slow down
3078	A cat and a snake are both predators for several of the same animals. If there are only seven mice in a habitat shared by a cat and a snake, there will be a shared meal between them 	A cat and a snake are both predators for several of the same animals. If there are only seven mice in a habitat shared by a cat and a snake, there will be a war between mice and cats 	A cat and a snake are both predators for several of the same animals. If there are only seven mice in a habitat shared by a cat and a snake, there will be pressure on them to get the mice before the other does 	A cat and a snake are both predators for several of the same animals. If there are only seven mice in a habitat shared by a cat and a snake, there will be enough for each of them to have ten mice	C	 a shared meal between them 	 a war between mice and cats 	 pressure on them to get the mice before the other does 	 enough for each of them to have ten mice
3079	If you hear that its snowy outside, you can expect there to be an abundance of fire 	If you hear that its snowy outside, you can expect there to be Absolutely zero snow outside 	If you hear that its snowy outside, you can expect there to be a plethora of snow 	If you hear that its snowy outside, you can expect there to be frogs falling from sky	C	 an abundance of fire 	 Absolutely zero snow outside 	 a plethora of snow 	 frogs falling from sky
3080	If a rock is sedimentary then sediment was fused with lava 	If a rock is sedimentary then sediment was packed into tummies 	If a rock is sedimentary then sediment was watered with salt 	If a rock is sedimentary then sediment was packed tightly	D	 sediment was fused with lava 	 sediment was packed into tummies 	 sediment was watered with salt 	 sediment was packed tightly
3081	At the beach you are likely to find this type of stone: rock that is compacted from other rock 	At the beach you are likely to find this type of stone: rock that is formed of plastic 	At the beach you are likely to find this type of stone: rock that is formed of water 	At the beach you are likely to find this type of stone: rock that is compacted trash	A	 rock that is compacted from other rock 	 rock that is formed of plastic 	 rock that is formed of water 	 rock that is compacted trash
